Comment,Designator,Footprint,LCSC Part #
.1uf,C3 C4 C5 C6,C0805,C49678
1K,R3 R5 R7 R29 R31,R0805,C309081
2.1MMJACKSMT,J0 J15 J16,DCJACK_2MM_SMT,
4.7K,R1 R2,R0805,C515732
10uF,C7,C0805,C15850
10uf,C1 C2,C0805,C15850
12K,R6 R9 R32,R0805,C515719
20,R8 R12 R16 R20 R24 R28 R36 R40 R44 R48 R52 R56 R57 R58,R0805,C723660
32Khz,Y1,CRYSTAL_8X3.8,C179637
220,R4,R0805,C17557
CR1220SMD,U$18,CR1220SMD,
HEADER_1X4,U$5,HEADER_1X4,
LED_RT_TRH,U$23,LED_TH_RT,
LM358_DUAL_OP-AMP,U$22,SOIC_8,C5423
MCP3208,U$1 U$2,SOIC_16,C16939
MICROSD_PUSH/PULL,J$20,MICROSD,
NODEMCU,U$16,NODEMCU,
None,R10 R11,R0805,C17477
PCF8523_RTC,U$4,SOIC_8,C2651516
STEREO_SMD,J1 J2 J3 J4 J5 J6 J7 J8 J9 J10 J11 J12 J13 J14,STEREO_SMT,
TVS_4CHAN_ARRAYSC-74,U$17 U$19 U$20 U$21,SC-74,C531179
VREF_SHUNT,U$3,SOT23_3,
